           ﻿nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2023;Februari;6.19;"SULAWESI UTARA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2023;Februari;3.49;"SULAWESI TENGAH"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2023;Februari;5.26;"SULAWESI SELATAN"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2023;Februari;3.66;"SULAWESI TENGGARA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2023;Februari;3.07;GORONTALO
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2023;Februari;3.04;"SULAWESI BARAT"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2023;Februari;6.08;MALUKU
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2023;Februari;4.6;"MALUKU UTARA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2023;Februari;5.53;"PAPUA BARAT"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2023;Februari;3.49;PAPUA
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2023;Februari;5.45;INDONESIA
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2022;Februari;5.97;ACEH
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2022;Februari;5.47;"SUMATERA UTARA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2022;Februari;6.17;"SUMATERA BARAT"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2022;Februari;4.4;RIAU
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2022;Februari;4.7;JAMBI
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2022;Februari;4.74;"SUMATERA SELATAN"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2022;Februari;3.39;BENGKULU
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2022;Februari;4.31;LAMPUNG
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2022;Februari;4.18;"KEP. BANGKA BELITUNG"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2022;Februari;8.02;"KEP. RIAU"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2022;Februari;8;"DKI JAKARTA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2022;Februari;8.35;"JAWA BARAT"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2022;Februari;5.75;"JAWA TENGAH"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2022;Februari;3.73;"DI YOGYAKARTA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2022;Februari;4.81;"JAWA TIMUR"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2022;Februari;8.53;BANTEN
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2022;Februari;4.84;BALI
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2022;Februari;3.92;"NUSA TENGGARA BARAT"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2022;Februari;3.3;"NUSA TENGGARA TIMUR"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2022;Februari;4.86;"KALIMANTAN BARAT"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2022;Februari;4.2;"KALIMANTAN TENGAH"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2022;Februari;4.2;"KALIMANTAN SELATAN"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2022;Februari;6.77;"KALIMANTAN TIMUR"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2022;Februari;4.62;"KALIMANTAN UTARA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2022;Februari;6.51;"SULAWESI UTARA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2022;Februari;3.67;"SULAWESI TENGAH"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2022;Februari;5.75;"SULAWESI SELATAN"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2022;Februari;3.86;"SULAWESI TENGGARA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2022;Februari;3.25;GORONTALO
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2022;Februari;3.11;"SULAWESI BARAT"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2022;Februari;6.44;MALUKU
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2022;Februari;4.98;"MALUKU UTARA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2022;Februari;5.78;"PAPUA BARAT"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2022;Februari;3.6;PAPUA
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2022;Februari;5.83;INDONESIA
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2021;Februari;6.3;ACEH
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2021;Februari;6.01;"SUMATERA UTARA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2021;Februari;6.67;"SUMATERA BARAT"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2021;Februari;4.96;RIAU
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2021;Februari;4.76;JAMBI
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2021;Februari;5.17;"SUMATERA SELATAN"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2021;Februari;3.72;BENGKULU
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2021;Februari;4.54;LAMPUNG
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2021;Februari;5.04;"KEP. BANGKA BELITUNG"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2021;Februari;10.12;"KEP. RIAU"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2021;Februari;8.51;"DKI JAKARTA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2021;Februari;8.92;"JAWA BARAT"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2021;Februari;5.96;"JAWA TENGAH"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2021;Februari;4.28;"DI YOGYAKARTA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2021;Februari;5.17;"JAWA TIMUR"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2021;Februari;9.01;BANTEN
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2021;Februari;5.42;BALI
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2021;Februari;3.97;"NUSA TENGGARA BARAT"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2021;Februari;3.38;"NUSA TENGGARA TIMUR"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2021;Februari;5.73;"KALIMANTAN BARAT"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2021;Februari;4.25;"KALIMANTAN TENGAH"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2021;Februari;4.33;"KALIMANTAN SELATAN"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2021;Februari;6.81;"KALIMANTAN TIMUR"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2021;Februari;4.67;"KALIMANTAN UTARA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2021;Februari;7.28;"SULAWESI UTARA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2021;Februari;3.73;"SULAWESI TENGAH"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2021;Februari;5.79;"SULAWESI SELATAN"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2021;Februari;4.22;"SULAWESI TENGGARA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2021;Februari;3.41;GORONTALO
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2021;Februari;3.28;"SULAWESI BARAT"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2021;Februari;6.73;MALUKU
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2021;Februari;5.06;"MALUKU UTARA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2021;Februari;6.18;"PAPUA BARAT"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2021;Februari;3.77;PAPUA
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2021;Februari;6.26;INDONESIA
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2020;Februari;5.4;ACEH
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2020;Februari;4.71;"SUMATERA UTARA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2020;Februari;5.25;"SUMATERA BARAT"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2020;Februari;4.92;RIAU
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2020;Februari;4.26;JAMBI
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2020;Februari;3.9;"SUMATERA SELATAN"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2020;Februari;3.08;BENGKULU
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2020;Februari;4.26;LAMPUNG
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2020;Februari;3.35;"KEP. BANGKA BELITUNG"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2020;Februari;5.98;"KEP. RIAU"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2020;Februari;5.15;"DKI JAKARTA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2020;Februari;7.71;"JAWA BARAT"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2020;Februari;4.2;"JAWA TENGAH"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2020;Februari;3.38;"DI YOGYAKARTA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2020;Februari;3.6;"JAWA TIMUR"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2020;Februari;7.99;BANTEN
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2020;Februari;1.25;BALI
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2020;Februari;3.04;"NUSA TENGGARA BARAT"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2020;Februari;2.64;"NUSA TENGGARA TIMUR"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2020;Februari;4.47;"KALIMANTAN BARAT"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2020;Februari;3.33;"KALIMANTAN TENGAH"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2020;Februari;3.67;"KALIMANTAN SELATAN"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2020;Februari;6.72;"KALIMANTAN TIMUR"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2020;Februari;5.71;"KALIMANTAN UTARA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2020;Februari;5.34;"SULAWESI UTARA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2020;Februari;2.93;"SULAWESI TENGAH"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2020;Februari;5.7;"SULAWESI SELATAN"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2020;Februari;3.1;"SULAWESI TENGGARA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2020;Februari;3.29;GORONTALO
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2020;Februari;2.39;"SULAWESI BARAT"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2020;Februari;6.71;MALUKU
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2020;Februari;4.09;"MALUKU UTARA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2020;Februari;6.78;"PAPUA BARAT"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2020;Februari;3.42;PAPUA
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2020;Februari;4.94;INDONESIA
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2019;Februari;5.48;ACEH
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2019;Februari;5.57;"SUMATERA UTARA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2019;Februari;5.38;"SUMATERA BARAT"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2019;Februari;5.36;RIAU
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2019;Februari;3.52;JAMBI
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2019;Februari;4.02;"SUMATERA SELATAN"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2019;Februari;2.41;BENGKULU
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2019;Februari;3.95;LAMPUNG
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2019;Februari;3.32;"KEP. BANGKA BELITUNG"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2019;Februari;7.02;"KEP. RIAU"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2019;Februari;5.5;"DKI JAKARTA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2019;Februari;7.78;"JAWA BARAT"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2019;Februari;4.19;"JAWA TENGAH"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2019;Februari;2.89;"DI YOGYAKARTA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2019;Februari;3.77;"JAWA TIMUR"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2019;Februari;7.55;BANTEN
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2019;Februari;1.22;BALI
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2019;Februari;3.15;"NUSA TENGGARA BARAT"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2019;Februari;2.98;"NUSA TENGGARA TIMUR"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2019;Februari;4.06;"KALIMANTAN BARAT"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2019;Februari;3.21;"KALIMANTAN TENGAH"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2019;Februari;3.41;"KALIMANTAN SELATAN"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2019;Februari;6.65;"KALIMANTAN TIMUR"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2019;Februari;5.84;"KALIMANTAN UTARA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2019;Februari;5.17;"SULAWESI UTARA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2019;Februari;3.46;"SULAWESI TENGAH"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2019;Februari;5.1;"SULAWESI SELATAN"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2019;Februari;2.88;"SULAWESI TENGGARA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2019;Februari;3.25;GORONTALO
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2019;Februari;1.29;"SULAWESI BARAT"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2019;Februari;6.61;MALUKU
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2019;Februari;4.96;"MALUKU UTARA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2019;Februari;5.81;"PAPUA BARAT"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2019;Februari;3.22;PAPUA
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2019;Februari;4.98;INDONESIA
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2018;Februari;6.54;ACEH
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2018;Februari;5.61;"SUMATERA UTARA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2018;Februari;5.68;"SUMATERA BARAT"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2018;Februari;5.55;RIAU
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2018;Februari;3.56;JAMBI
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2018;Februari;4.08;"SUMATERA SELATAN"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2018;Februari;2.63;BENGKULU
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2018;Februari;4.32;LAMPUNG
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2018;Februari;3.59;"KEP. BANGKA BELITUNG"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2018;Februari;7.3;"KEP. RIAU"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2018;Februari;5.73;"DKI JAKARTA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2018;Februari;8.22;"JAWA BARAT"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2018;Februari;4.19;"JAWA TENGAH"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2018;Februari;3;"DI YOGYAKARTA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2018;Februari;3.77;"JAWA TIMUR"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2018;Februari;7.72;BANTEN
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2018;Februari;0.88;BALI
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2018;Februari;3.28;"NUSA TENGGARA BARAT"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2018;Februari;2.82;"NUSA TENGGARA TIMUR"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2018;Februari;4.09;"KALIMANTAN BARAT"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2018;Februari;3.14;"KALIMANTAN TENGAH"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2018;Februari;3.72;"KALIMANTAN SELATAN"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2018;Februari;6.79;"KALIMANTAN TIMUR"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2018;Februari;4.7;"KALIMANTAN UTARA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2018;Februari;5.86;"SULAWESI UTARA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2018;Februari;3.12;"SULAWESI TENGAH"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2018;Februari;5.04;"SULAWESI SELATAN"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2018;Februari;2.77;"SULAWESI TENGGARA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2018;Februari;3.38;GORONTALO
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2018;Februari;2.33;"SULAWESI BARAT"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2018;Februari;7.07;MALUKU
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2018;Februari;4.56;"MALUKU UTARA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2018;Februari;6.27;"PAPUA BARAT"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2018;Februari;2.75;PAPUA
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2018;Februari;5.1;INDONESIA
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2017;Februari;7.39;ACEH
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2017;Februari;6.41;"SUMATERA UTARA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2017;Februari;5.8;"SUMATERA BARAT"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2017;Februari;5.76;RIAU
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2017;Februari;3.67;JAMBI
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2017;Februari;3.8;"SUMATERA SELATAN"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2017;Februari;2.81;BENGKULU
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2017;Februari;4.43;LAMPUNG
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2017;Februari;4.46;"KEP. BANGKA BELITUNG"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2017;Februari;6.44;"KEP. RIAU"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2017;Februari;5.36;"DKI JAKARTA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2017;Februari;8.49;"JAWA BARAT"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2017;Februari;4.15;"JAWA TENGAH"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2017;Februari;2.84;"DI YOGYAKARTA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2017;Februari;4.1;"JAWA TIMUR"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2017;Februari;7.75;BANTEN
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2017;Februari;1.28;BALI
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2017;Februari;3.86;"NUSA TENGGARA BARAT"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2017;Februari;3.21;"NUSA TENGGARA TIMUR"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2017;Februari;4.22;"KALIMANTAN BARAT"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2017;Februari;3.13;"KALIMANTAN TENGAH"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2017;Februari;3.53;"KALIMANTAN SELATAN"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2017;Februari;8.55;"KALIMANTAN TIMUR"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2017;Februari;5.17;"KALIMANTAN UTARA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2017;Februari;6.12;"SULAWESI UTARA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2017;Februari;2.97;"SULAWESI TENGAH"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2017;Februari;4.77;"SULAWESI SELATAN"
